## 20171115
## Database of cancer genes. Composed by:
## 1. Cancer driver genes from cosmic cancer gene census database (27/06/2016, COSMIC v77)
## access_info: http://cancer.sanger.ac.uk/census/
## 2. Cancer predisposition genes (CPG) from Rahman N. (doi:10.1038/nature12981)
## access_info: Supplementary table 1
## <CHROM>  <BEG>   <END>   <GENE_SYMBOL>	    <ROLE>  <COSMIC>    	<CPG>
19	851014	856242	ELANE	TSG	0	1
3	59735036	61237133	FHIT	UNK	1	0
15	40453224	40513337	BUB1B	TSG	1	1
6	27107076	27108418	HIST1H4I	UNK	1	0
19	1189406	1228428	STK11	TSG	1	1
11	64570982	64578766	MEN1	TSG	1	1
5	55230923	55290821	IL6ST	UNK	1	0
5	38475065	38608456	LIFR	UNK	1	0
Y	2654896	2655740	SRY	TSG	0	1
1	193091147	193223031	CDC73	TSG	1	1
3	178865902	178957881	PIK3CA	oncogene	1	0
19	45281126	45303891	CBLC	UNK	1	0
3	105374305	105588396	CBLB	TSG	1	0
11	120207787	120360645	ARHGEF12	TSG	1	0
X	48886242	48901012	TFE3	UNK	1	0
11	3692313	3819022	NUP98	UNK	1	0
8	30891317	31031285	WRN	TSG	1	1
9	100437191	100459639	XPA	TSG	1	1
3	12328867	12475855	PPARG	UNK	1	0
1	205626979	205649587	SLC45A3	UNK	1	0
11	117075053	117103241	PCSK7	UNK	1	0
19	33369902	33462897	CEP89	UNK	1	0
12	50478755	50494495	SMARCD1	UNK	1	0
3	128198270	128212028	GATA2	oncogene	1	1
10	8095567	8117161	GATA3	oncogene/TSG	1	0
X	48644962	48652716	GATA1	oncogene/TSG	1	0
3	48601506	48632700	COL7A1	TSG	0	1
11	111222977	111326355	POU2AF1	UNK	1	0
11	69455855	69469242	CCND1	oncogene	1	0
14	65472892	65569413	MAX	TSG	1	1
6	41902671	42018095	CCND3	UNK	1	0
12	4382938	4414516	CCND2	UNK	1	0
7	91570181	91739987	AKAP9	oncogene	1	0
6	43543887	43586701	POLH	TSG	0	1
10	89622870	89731687	PTEN	TSG	1	1
15	57210821	57591479	TCF12	UNK	1	0
UNK	UNK	UNK	RMRP	TSG	0	1
16	67596310	67673086	CTCF	TSG	1	0
5	35852797	35879705	IL7R	UNK	1	0
19	17935589	17958880	JAK3	UNK	1	0
12	12867992	12875305	CDKN1B	TSG	1	1
19	34663409	34720420	LSM14A	UNK	1	0
UNK	UNK	UNK	ZNF198	UNK	1	0
18	42260138	42648475	SETBP1	UNK	1	0
16	2205699	2228130	TRAF7	UNK	1	0
1	45477819	45481247	UROD	TSG	0	1
4	54875956	54930857	CHIC2	UNK	1	0
8	57124245	57131357	CHCHD7	UNK	1	0
X	154289897	154376212	MTCP1	UNK	1	0
X	123094062	123556514	STAG2	UNK	1	0
9	4985033	5128183	JAK2	oncogene	1	0
17	73772515	73781974	H3F3B	UNK	1	0
17	29421945	29709134	NF1	TSG	1	1
1	65298912	65432187	JAK1	UNK	1	0
1	11166592	11322564	MTOR	oncogene	1	0
X	70338406	70362303	MED12	UNK	1	0
2	96914254	96931732	TMEM127	TSG	0	1
15	91260558	91358859	BLM	TSG	1	1
7	101458959	101927249	CUX1	UNK	1	0
12	54332535	54340328	HOXC13	oncogene	1	0
4	99182535	99365012	RAP1GDS1	UNK	1	0
UNK	UNK	UNK	IGL	UNK	1	0
UNK	UNK	UNK	IGK	UNK	1	0
UNK	UNK	UNK	IGH	UNK	1	0
9	15464064	15511017	PSIP1	UNK	1	0
11	119076752	119178859	CBL	oncogene/TSG	1	1
6	106534195	106557814	PRDM1	UNK	1	0
19	4360367	4400544	SH3GL1	UNK	1	0
17	53342373	53402426	HLF	oncogene	1	0
3	186500994	186507689	EIF4A2	UNK	1	0
16	15797029	15950890	MYH11	UNK	1	0
18	48494410	48611415	SMAD4	TSG	1	1
3	155588325	155661815	GMPS	UNK	1	0
3	9022275	9404737	SRGAP3	UNK	1	0
15	67356101	67487533	SMAD3	TSG	1	0
